sec,queue_cnt,count
1088,1,15310
1088,2,0
1088,3,0
1088,4,0
1088,5,0
1088,6,0
1088,7,0
1088,8,0
1088,9,0
1088,10,0
1088,11,0
1088,12,0
1088,13,0
1088,14,0
1088,15,0
1088,16,0
1088,17,0
1088,18,0
1088,19,0
1088,20,0
1088,21,0
1088,22,0
1088,23,0
1088,24,0
1088,25,0
1088,26,0
1088,27,0
1088,28,0
1088,29,0
1088,30,0
1088,31,0
1088,32,0
1089,1,17826
1089,2,0
1089,3,0
1089,4,0
1089,5,0
1089,6,0
1089,7,0
1089,8,0
1089,9,0
1089,10,0
1089,11,0
1089,12,0
1089,13,0
1089,14,0
1089,15,0
1089,16,0
1089,17,0
1089,18,0
1089,19,0
1089,20,0
1089,21,0
1089,22,0
1089,23,0
1089,24,0
1089,25,0
1089,26,0
1089,27,0
1089,28,0
1089,29,0
1089,30,0
1089,31,0
1089,32,0
1090,1,17918
1090,2,33
1090,3,0
1090,4,0
1090,5,0
1090,6,0
1090,7,0
1090,8,0
1090,9,0
1090,10,0
1090,11,0
1090,12,0
1090,13,0
1090,14,0
1090,15,0
1090,16,0
1090,17,0
1090,18,0
1090,19,0
1090,20,0
1090,21,0
1090,22,0
1090,23,0
1090,24,0
1090,25,0
1090,26,0
1090,27,0
1090,28,0
1090,29,0
1090,30,0
1090,31,0
1090,32,0
1091,1,17242
1091,2,0
1091,3,0
1091,4,0
1091,5,0
1091,6,0
1091,7,0
1091,8,0
1091,9,0
1091,10,0
1091,11,0
1091,12,0
1091,13,0
1091,14,0
1091,15,0
1091,16,0
1091,17,0
1091,18,0
1091,19,0
1091,20,0
1091,21,0
1091,22,0
1091,23,0
1091,24,0
1091,25,0
1091,26,0
1091,27,0
1091,28,0
1091,29,0
1091,30,0
1091,31,0
1091,32,0
1092,1,17225
1092,2,0
1092,3,0
1092,4,0
1092,5,0
1092,6,0
1092,7,0
1092,8,0
1092,9,0
1092,10,0
1092,11,0
1092,12,0
1092,13,0
1092,14,0
1092,15,0
1092,16,0
1092,17,0
1092,18,0
1092,19,0
1092,20,0
1092,21,0
1092,22,0
1092,23,0
1092,24,0
1092,25,0
1092,26,0
1092,27,0
1092,28,0
1092,29,0
1092,30,0
1092,31,0
1092,32,0
1093,1,17140
1093,2,0
1093,3,0
1093,4,0
1093,5,0
1093,6,0
1093,7,0
1093,8,0
1093,9,0
1093,10,0
1093,11,0
1093,12,0
1093,13,0
1093,14,0
1093,15,0
1093,16,0
1093,17,0
1093,18,0
1093,19,0
1093,20,0
1093,21,0
1093,22,0
1093,23,0
1093,24,0
1093,25,0
1093,26,0
1093,27,0
1093,28,0
1093,29,0
1093,30,0
1093,31,0
1093,32,0
1094,1,17527
1094,2,0
1094,3,0
1094,4,0
1094,5,0
1094,6,0
1094,7,0
1094,8,0
1094,9,0
1094,10,0
1094,11,0
1094,12,0
1094,13,0
1094,14,0
1094,15,0
1094,16,0
1094,17,0
1094,18,0
1094,19,0
1094,20,0
1094,21,0
1094,22,0
1094,23,0
1094,24,0
1094,25,0
1094,26,0
1094,27,0
1094,28,0
1094,29,0
1094,30,0
1094,31,0
1094,32,0
1095,1,17820
1095,2,31
1095,3,0
1095,4,0
1095,5,0
1095,6,0
1095,7,0
1095,8,0
1095,9,0
1095,10,0
1095,11,0
1095,12,0
1095,13,0
1095,14,0
1095,15,0
1095,16,0
1095,17,0
1095,18,0
1095,19,0
1095,20,0
1095,21,0
1095,22,0
1095,23,0
1095,24,0
1095,25,0
1095,26,0
1095,27,0
1095,28,0
1095,29,0
1095,30,0
1095,31,0
1095,32,0
1096,1,16842
1096,2,149
1096,3,162
1096,4,116
1096,5,9
1096,6,87
1096,7,62
1096,8,53
1096,9,135
1096,10,108
1096,11,38
1096,12,85
1096,13,23
1096,14,0
1096,15,0
1096,16,0
1096,17,0
1096,18,0
1096,19,0
1096,20,0
1096,21,0
1096,22,0
1096,23,0
1096,24,0
1096,25,0
1096,26,0
1096,27,0
1096,28,0
1096,29,0
1096,30,0
1096,31,0
1096,32,0
1097,1,15032
1097,2,0
1097,3,0
1097,4,0
1097,5,0
1097,6,0
1097,7,0
1097,8,0
1097,9,0
1097,10,0
1097,11,0
1097,12,0
1097,13,0
1097,14,0
1097,15,0
1097,16,0
1097,17,0
1097,18,0
1097,19,0
1097,20,0
1097,21,0
1097,22,0
1097,23,0
1097,24,0
1097,25,0
1097,26,0
1097,27,0
1097,28,0
1097,29,0
1097,30,0
1097,31,0
1097,32,0
1098,1,11377
1098,2,0
1098,3,0
1098,4,0
1098,5,0
1098,6,0
1098,7,0
1098,8,0
1098,9,0
1098,10,0
1098,11,0
1098,12,0
1098,13,0
1098,14,0
1098,15,0
